version: 1.0,published: 04/09/2019,date queried: 12/24/2020,email: co.suffer.struggle@gmail.com,grade: 9-12,"domains: general, social_studies, math, science"

Word,Domain,Grade
criticism,general,9-12
critically,general,9-12
depict,general,9-12
contemporary,general,9-12
increasingly,general,9-12
conference,general,9-12
induce,general,9-12
primarily,general,9-12
existence,general,9-12
devote,general,9-12
twentieth,general,9-12
retain,general,9-12
innovation,general,9-12
compel,general,9-12
dramatically,general,9-12
influential,general,9-12
sustain,general,9-12
elsewhere,general,9-12
nevertheless,general,9-12
capable,general,9-12
absence,general,9-12
moderate,general,9-12
marginal,general,9-12
perception,general,9-12
isolation,general,9-12
extensive,general,9-12
lifestyle,general,9-12
productive,general,9-12
distinctive,general,9-12
consumption,general,9-12
frequent,general,9-12
refine,general,9-12
distinction,general,9-12
merge,general,9-12
uncertainty,general,9-12
formulate,general,9-12
discipline,general,9-12
motivate,general,9-12
philosophical,general,9-12
consideration,general,9-12
readily,general,9-12
sharply,general,9-12
initially,general,9-12
descent,general,9-12
disrupt,general,9-12
disperse,general,9-12
evident,general,9-12
syntax,general,9-12
abundance,general,9-12
regain,general,9-12
tremendous,general,9-12
induction,general,9-12
devise,general,9-12
paradox,general,9-12
phenomenon,general,9-12
acknowledge,general,9-12
discourage,general,9-12
expel,general,9-12
archetype,general,9-12
implement,general,9-12
administer,general,9-12
confine,general,9-12
necessity,general,9-12
ongoing,general,9-12
physician,general,9-12
costly,general,9-12
transitional,general,9-12
supernatural,general,9-12
underlie,general,9-12
independently,general,9-12
renew,general,9-12
indirectly,general,9-12
differentiate,general,9-12
inferior,general,9-12
significantly,general,9-12
transcription,general,9-12
beneficial,general,9-12
intermediate,general,9-12
notion,general,9-12
tolerance,general,9-12
defect,general,9-12
incidence,general,9-12
patent,general,9-12
contradict,general,9-12
eternal,general,9-12
manual,general,9-12
counterclaim,general,9-12
cooperative,general,9-12
psychological,general,9-12
repeatedly,general,9-12
unequal,general,9-12
comprise,general,9-12
enrich,general,9-12
instruct,general,9-12
attain,general,9-12
diverge,general,9-12
advancement,general,9-12
designate,general,9-12
compile,general,9-12
cooperate,general,9-12
distort,general,9-12
diminish,general,9-12
profession,general,9-12
completion,general,9-12
permanently,general,9-12
plentiful,general,9-12
consequently,general,9-12
constitute,general,9-12
counterargument,general,9-12
dependence,general,9-12
resistant,general,9-12
omit,general,9-12
dominance,general,9-12
acceptance,general,9-12
adjustment,general,9-12
framework,general,9-12
undermine,general,9-12
validity,general,9-12
voluntary,general,9-12
deliberate,general,9-12
successive,general,9-12
merit,general,9-12
dilemma,general,9-12
precaution,general,9-12
subsequent,general,9-12
therapy,general,9-12
latter,general,9-12
nutrition,general,9-12
embody,general,9-12
abruptly,general,9-12
collaborative,general,9-12
consistently,general,9-12
lowering,general,9-12
overview,general,9-12
argumentative,general,9-12
uneven,general,9-12
unlikely,general,9-12
colleague,general,9-12
credible,general,9-12
notable,general,9-12
outlook,general,9-12
inward,general,9-12
nominative,general,9-12
plagiarism,general,9-12
intrigue,general,9-12
preservation,general,9-12
explicitly,general,9-12
fallacy,general,9-12
recur,general,9-12
deficiency,general,9-12
drawback,general,9-12
thorough,general,9-12
contradictory,general,9-12
duration,general,9-12
refute,general,9-12
copyright,general,9-12
discard,general,9-12
faulty,general,9-12
hereditary,general,9-12
inexpensive,general,9-12
loosely,general,9-12
respective,general,9-12
wane,general,9-12
concise,general,9-12
predictable,general,9-12
prominence,general,9-12
simplicity,general,9-12
sympathetic,general,9-12
withstand,general,9-12
appropriately,general,9-12
exclusion,general,9-12
remnant,general,9-12
abbreviate,general,9-12
aftermath,general,9-12
enjoyment,general,9-12
prescribe,general,9-12
comprehensive,general,9-12
deem,general,9-12
diagnose,general,9-12
periodically,general,9-12
affix,general,9-12
afflict,general,9-12
ascend,general,9-12
innovative,general,9-12
minimal,general,9-12
neatly,general,9-12
accessible,general,9-12
creativity,general,9-12
experimentation,general,9-12
intricate,general,9-12
premise,general,9-12
prevention,general,9-12
readiness,general,9-12
vigorously,general,9-12
affordable,general,9-12
authoritative,general,9-12
discern,general,9-12
dissimilar,general,9-12
implication,general,9-12
revolutionize,general,9-12
unclear,general,9-12
additionally,general,9-12
innate,general,9-12
likelihood,general,9-12
peculiar,general,9-12
speculation,general,9-12
chiefly,general,9-12
conform,general,9-12
indefinitely,general,9-12
orally,general,9-12
reliability,general,9-12
usable,general,9-12
accommodate,general,9-12
adequately,general,9-12
elapse,general,9-12
mainstream,general,9-12
noticeable,general,9-12
nuance,general,9-12
outweigh,general,9-12
progression,general,9-12
conversely,general,9-12
disprove,general,9-12
recreational,general,9-12
setback,general,9-12
counterpart,general,9-12
discourse,general,9-12
inaccurate,general,9-12
misuse,general,9-12
nonverbal,general,9-12
nurture,general,9-12
usefulness,general,9-12
archaeology,general,9-12
commonplace,general,9-12
dissatisfy,general,9-12
dual,general,9-12
excel,general,9-12
heed,general,9-12
implicit,general,9-12
jargon,general,9-12
milestone,general,9-12
reliance,general,9-12
sufficiently,general,9-12
cautious,general,9-12
certify,general,9-12
connotative,general,9-12
encouragement,general,9-12
exploitation,general,9-12
indication,general,9-12
monotonous,general,9-12
recognizable,general,9-12
scholarly,general,9-12
captivity,general,9-12
comparable,general,9-12
endurance,general,9-12
foremost,general,9-12
recede,general,9-12
aesthetic,general,9-12
annotation,general,9-12
assertion,general,9-12
assortment,general,9-12
concisely,general,9-12
durable,general,9-12
dwindle,general,9-12
esteem,general,9-12
inefficient,general,9-12
lifelong,general,9-12
nutritional,general,9-12
optimal,general,9-12
assimilate,general,9-12
continual,general,9-12
decorative,general,9-12
forceful,general,9-12
inconsistent,general,9-12
optimistic,general,9-12
prevalent,general,9-12
uncontrolled,general,9-12
unfavorable,general,9-12
unresolved,general,9-12
acknowledgement,general,9-12
discrepancy,general,9-12
drastically,general,9-12
fathom,general,9-12
fluctuate,general,9-12
fluctuation,general,9-12
ghostly,general,9-12
panelist,general,9-12
reappear,general,9-12
reconstruct,general,9-12
straightforward,general,9-12
vividly,general,9-12
alternatively,general,9-12
inclination,general,9-12
locally,general,9-12
majestic,general,9-12
mythical,general,9-12
mythological,general,9-12
routinely,general,9-12
unexpectedly,general,9-12
deformation,general,9-12
exemplify,general,9-12
flexibility,general,9-12
observable,general,9-12
annotate,general,9-12
collaborate,general,9-12
counteract,general,9-12
encompass,general,9-12
extensively,general,9-12
innermost,general,9-12
measurable,general,9-12
selectively,general,9-12
tolerant,general,9-12
wasteful,general,9-12
adorn,general,9-12
ensue,general,9-12
incorrectly,general,9-12
incur,general,9-12
indent,general,9-12
insightful,general,9-12
namely,general,9-12
nonessential,general,9-12
outright,general,9-12
advantageous,general,9-12
deprivation,general,9-12
equate,general,9-12
persistence,general,9-12
powerfully,general,9-12
promptly,general,9-12
thoughtfully,general,9-12
unintended,general,9-12
unreliable,general,9-12
versatile,general,9-12
alphabetical,general,9-12
astound,general,9-12
computerized,general,9-12
continuity,general,9-12
diagnosis,general,9-12
impair,general,9-12
initiation,general,9-12
knowledgeable,general,9-12
meager,general,9-12
medicinal,general,9-12
moderation,general,9-12
restrictive,general,9-12
unchanging,general,9-12
closeness,general,9-12
cohesive,general,9-12
consistency,general,9-12
cosmology,general,9-12
doubtful,general,9-12
favorably,general,9-12
finely,general,9-12
imagism,general,9-12
ingenuity,general,9-12
internationally,general,9-12
overtake,general,9-12
skeptical,general,9-12
stately,general,9-12
systematically,general,9-12
unconvincing,general,9-12
unravel,general,9-12
unused,general,9-12
allege,general,9-12
beforehand,general,9-12
elaboration,general,9-12
freshness,general,9-12
inclusion,general,9-12
inherently,general,9-12
jumble,general,9-12
perseverance,general,9-12
questionable,general,9-12
seminal,general,9-12
thinly,general,9-12
urgency,general,9-12
alternately,general,9-12
bolster,general,9-12
broadly,general,9-12
coherence,general,9-12
intentionally,general,9-12
invariably,general,9-12
jointly,general,9-12
unbroken,general,9-12
adjoin,general,9-12
anew,general,9-12
comfortably,general,9-12
meteorology,general,9-12
noteworthy,general,9-12
propagation,general,9-12
proportionally,general,9-12
societal,general,9-12
aeronautics,general,9-12
discontinuity,general,9-12
gritty,general,9-12
seaward,general,9-12
shortcoming,general,9-12
acronym,general,9-12
browse,general,9-12
bulky,general,9-12
clarification,general,9-12
elicit,general,9-12
facet,general,9-12
familiarity,general,9-12
furiously,general,9-12
harmonious,general,9-12
helplessly,general,9-12
manageable,general,9-12
quantify,general,9-12
readable,general,9-12
rediscover,general,9-12
terminology,general,9-12
unaffected,general,9-12
unwise,general,9-12
annoyance,general,9-12
